Animals,Natural soundscapes & water sounds,Human/ non-speech sounds,Interior/domestic sounds,Exterior/urban noises
Dog,Rain,Crying baby,Door knock,Helicopter
Rooster,Sea waves,Sneezing,Mouse click,Chain saw
Pig,Crackling fire,Clapping,Keyboard typing,Siren
Cow,Crickets,Breathing,"Door,wood creaks",Car horn
Frog,Chirping birds,Coughing,Can opening,Engine
Cat,Water drops,Footsteps,Washing machine,Train
Hen,Wind,Laughing,Vacuum cleaner,Church bells
Insects (flying),Pouring water,Brushing teeth,Clock alarm,Airplane
Sheep,Toilet flush,Snoring,Clock tick,Crackers
Crow,Thunderstorm,Drinking/sipping,Glass breaking,Hand saw
